224,224,14
449,224,14
674,224,14
224,449,14
449,449,14
674,449,14
224,674,14
449,674,14
674,674,14
224,224,29
449,224,29
674,224,29
224,449,29
449,449,29
674,449,29
224,674,29
449,674,29
674,674,29
224,224,44
449,224,44
674,224,44
224,449,44
449,449,44
674,449,44
224,674,44
449,674,44
674,674,44
224,224,59
449,224,59
674,224,59
224,449,59
449,449,59
674,449,59
224,674,59
449,674,59
674,674,59
224,224,74
449,224,74
674,224,74
224,449,74
449,449,74
674,449,74
224,674,74
449,674,74
674,674,74
